
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 357, Time: 5.04973, Systemstep: 0.0141449

Begin Step 358, Time: 5.06387, Systemstep: 0.0141449

Begin Step 359, Time: 5.07802, Systemstep: 0.0141449

Begin Step 360, Time: 5.09216, Systemstep: 0.0141449

Begin Step 361, Time: 5.10631, Systemstep: 0.0141449

Begin Step 362, Time: 5.12045, Systemstep: 0.0141449

Begin Step 363, Time: 5.1346, Systemstep: 0.0141449

Begin Step 364, Time: 5.14874, Systemstep: 0.0141449

Begin Step 365, Time: 5.16289, Systemstep: 0.0141449

Begin Step 366, Time: 5.17703, Systemstep: 0.0141449

Begin Step 367, Time: 5.19118, Systemstep: 0.0141449

Begin Step 368, Time: 5.20532, Systemstep: 0.0141449

Begin Step 369, Time: 5.21947, Systemstep: 0.0141449

Begin Step 370, Time: 5.23361, Systemstep: 0.0141449

Begin Step 371, Time: 5.24776, Systemstep: 0.0141449

Begin Step 372, Time: 5.2619, Systemstep: 0.0141449

Begin Step 373, Time: 5.27605, Systemstep: 0.0141449

Begin Step 374, Time: 5.29019, Systemstep: 0.0141449

Begin Step 375, Time: 5.30434, Systemstep: 0.0141449

Begin Step 376, Time: 5.31848, Systemstep: 0.0141449

Begin Step 377, Time: 5.33263, Systemstep: 0.0141449

Begin Step 378, Time: 5.34677, Systemstep: 0.0141449

Begin Step 379, Time: 5.36092, Systemstep: 0.0141449

Begin Step 380, Time: 5.37506, Systemstep: 0.0141449

Begin Step 381, Time: 5.38921, Systemstep: 0.0141449

Begin Step 382, Time: 5.40335, Systemstep: 0.0141449

Begin Step 383, Time: 5.4175, Systemstep: 0.0141449

Begin Step 384, Time: 5.43164, Systemstep: 0.0141449

Begin Step 385, Time: 5.44579, Systemstep: 0.0141449

Begin Step 386, Time: 5.45993, Systemstep: 0.0141449

Begin Step 387, Time: 5.47408, Systemstep: 0.0141449

Begin Step 388, Time: 5.48822, Systemstep: 0.0141449

Begin Step 389, Time: 5.50237, Systemstep: 0.0141449

Begin Step 390, Time: 5.51651, Systemstep: 0.0141449

Begin Step 391, Time: 5.53065, Systemstep: 0.0141449

Begin Step 392, Time: 5.5448, Systemstep: 0.0141449

Begin Step 393, Time: 5.55894, Systemstep: 0.0141449

Begin Step 394, Time: 5.57309, Systemstep: 0.0141449

Begin Step 395, Time: 5.58723, Systemstep: 0.0141449

Begin Step 396, Time: 5.60138, Systemstep: 0.0141449

Begin Step 397, Time: 5.61552, Systemstep: 0.0141449

Begin Step 398, Time: 5.62967, Systemstep: 0.0141449

Begin Step 399, Time: 5.64381, Systemstep: 0.0141449

Begin Step 400, Time: 5.65796, Systemstep: 0.0141449

Begin Step 401, Time: 5.6721, Systemstep: 0.0141449

Begin Step 402, Time: 5.68625, Systemstep: 0.0141449

Begin Step 403, Time: 5.70039, Systemstep: 0.0141449

Begin Step 404, Time: 5.71454, Systemstep: 0.0141449

Begin Step 405, Time: 5.72868, Systemstep: 0.0141449

Begin Step 406, Time: 5.74283, Systemstep: 0.0141449

Begin Step 407, Time: 5.75697, Systemstep: 0.0141449

Begin Step 408, Time: 5.77112, Systemstep: 0.0141449

Begin Step 409, Time: 5.78526, Systemstep: 0.0141449

Begin Step 410, Time: 5.79941, Systemstep: 0.0141449

Begin Step 411, Time: 5.81355, Systemstep: 0.0141449

Begin Step 412, Time: 5.8277, Systemstep: 0.0141449

Begin Step 413, Time: 5.84184, Systemstep: 0.0141449

Begin Step 414, Time: 5.85599, Systemstep: 0.0141449

Begin Step 415, Time: 5.87013, Systemstep: 0.0141449

Begin Step 416, Time: 5.88428, Systemstep: 0.0141449

Begin Step 417, Time: 5.89842, Systemstep: 0.0141449

Begin Step 418, Time: 5.91257, Systemstep: 0.0141449

Begin Step 419, Time: 5.92671, Systemstep: 0.0141449

Begin Step 420, Time: 5.94086, Systemstep: 0.0141449

Begin Step 421, Time: 5.955, Systemstep: 0.0141449

Begin Step 422, Time: 5.96915, Systemstep: 0.0141449

Begin Step 423, Time: 5.98329, Systemstep: 0.0141449

Begin Step 424, Time: 5.99744, Systemstep: 0.0141449

Begin Step 425, Time: 6.01158, Systemstep: 0.0141449

Begin Step 426, Time: 6.02573, Systemstep: 0.0141449

Begin Step 427, Time: 6.03987, Systemstep: 0.0141449

Begin Step 428, Time: 6.05402, Systemstep: 0.0141449

Begin Step 429, Time: 6.06816, Systemstep: 0.0141449

Begin Step 430, Time: 6.08231, Systemstep: 0.0141449

Begin Step 431, Time: 6.09645, Systemstep: 0.0141449

Begin Step 432, Time: 6.1106, Systemstep: 0.0141449

Begin Step 433, Time: 6.12474, Systemstep: 0.0141449

Begin Step 434, Time: 6.13889, Systemstep: 0.0141449

Begin Step 435, Time: 6.15303, Systemstep: 0.0141449

Begin Step 436, Time: 6.16718, Systemstep: 0.0141449

Begin Step 437, Time: 6.18132, Systemstep: 0.0141449

Begin Step 438, Time: 6.19547, Systemstep: 0.0141449

Begin Step 439, Time: 6.20961, Systemstep: 0.0141449

Begin Step 440, Time: 6.22375, Systemstep: 0.0141449

Begin Step 441, Time: 6.2379, Systemstep: 0.0141449

Begin Step 442, Time: 6.25204, Systemstep: 0.0141449

Begin Step 443, Time: 6.26619, Systemstep: 0.0141449

Begin Step 444, Time: 6.28033, Systemstep: 0.0141449

Begin Step 445, Time: 6.29448, Systemstep: 0.0141449

Begin Step 446, Time: 6.30862, Systemstep: 0.0141449

Begin Step 447, Time: 6.32277, Systemstep: 0.0141449

Begin Step 448, Time: 6.33691, Systemstep: 0.0141449

